featureID,CDMM_A,CDMM_B,CDMM_C,IEC_A,IEC_B,IEC_C
gene-16S rRNA,395829.41,331539.75,325464.5,469132.16,403200.88,357614.41
gene-16S rRNA-2,303880,255514.48,245266.73,355990.19,290901.47,251414.06
gene-16S rRNA-3,315149.56,259870.19,248117.91,355686.88,293788.31,252906.16
gene-16S rRNA-4,319488.84,264670.44,253072.02,375394.47,316859.91,275709.31
gene-16S rRNA-5,379680.12,320864.19,316465.72,462558.62,394098.5,350255.19
gene-16S rRNA-6,320425.69,263254.62,249730.92,356076.34,293418.31,253911.36
gene-16S rRNA-7,385873.59,324063.88,317443.97,459743.59,394225.16,350822.88
gene-16S rRNA-8,349434.97,286967.56,273406.19,391083.25,321567.81,277668.66
gene-16S rRNA-9,336398.25,279130.88,266945.91,384836.97,314426.16,271602.03
gene-23S rRNA,874238.06,616969.38,608276.81,980990,768047.62,702522.62
gene-23S rRNA-10,734868.19,524442.94,491610.5,735907.25,592591.19,529599.19
gene-23S rRNA-2,847441.44,600127.81,598314.81,973846.38,758676.94,692256.5
gene-23S rRNA-3,727421.69,497389,489054.09,776845.94,628717.31,585540.19
gene-23S rRNA-4,764301.19,544099.69,531121.19,807913.19,642753.88,582574.25
gene-23S rRNA-5,890773,625498.38,614794.44,987103.12,775681.19,707626.12
gene-23S rRNA-6,863726.69,612109.88,606055.19,965907,754153.88,687765.94
gene-23S rRNA-7,876799.69,619248.62,608549.25,981982.06,767394.88,700890.19
gene-23S rRNA-8,969210.94,660480.19,662957.81,1074807.5,856775.62,793891.88
gene-23S rRNA-9,1021590.75,748019.19,731980.81,1191666.62,926374.56,839993.88
gene-5S rRNA,26.54,57.27,5.77,5.95,4.78,1.44
gene-5S rRNA-2,57.39,100.28,44.96,309.38,312.5,274.23
gene-5S rRNA-3,16.52,54.33,2.76,9.25,4.25,1.97
gene-5S rRNA-4,21.24,62.07,8.21,42.77,30.78,22.88
gene-5S rRNA-5,15.66,58.99,3.17,10.46,3.9,3.22
gene-5S rRNA-6,12.26,24.76,14.99,37.08,44.27,40.96
gene-5S rRNA-7,26.28,85.95,2.9,10.27,4.3,3.15
gene-5S rRNA-8,38.71,101.5,4.65,15.75,6.7,4.38
gene-CDR20291_0001,2031.96,2400.86,2304.64,1473.6,1912.03,1716.43
gene-CDR20291_0002,1976.02,2268.63,2234.13,1398.2,2113.75,1868.98
gene-CDR20291_0003,19596.31,18142.84,19668.35,13974.75,17471.1,14512.58
gene-CDR20291_0004,5853.78,6290.97,6418.92,21504.57,24049.95,21971.17
gene-CDR20291_0005,9906.72,10498.43,11297.29,37684.23,47276.54,43503.05
