PATRIC.ID,CDMM_A,CDMM_B,CDMM_C,Comm_A,Comm_B,Comm_C,IEC_A,IEC_B,IEC_C
fig|645463.3.peg.12,102.4,129.55,119.62,110.85,126.66,133.2,65.66,77.69,77.61
fig|645463.3.peg.13,57.58,70.79,67.05,60.76,70.89,71.41,36.02,49.66,48.87
fig|645463.3.peg.14,395.96,392.53,409.32,274.53,250.87,311.99,249.66,284.63,263.11
fig|645463.3.peg.15,329.94,379.67,372.63,653.18,746,750.23,1071.65,1092.93,1111.14
fig|645463.3.peg.16,155.45,176.39,182.58,274.18,316.84,306.29,522.8,598.1,612.47
fig|645463.3.peg.17,123.79,121.49,134.78,182.26,192.98,195.09,319.84,297.93,306.52
fig|645463.3.peg.18,520.85,557.9,590.71,762.46,823.47,830.86,977.15,989.8,1018.58
fig|645463.3.peg.20,111.48,136.52,131.62,93,101.51,110.39,78.28,111.32,109.12
fig|645463.3.peg.21,11.72,14,13.21,19.48,22.55,20.99,39.87,41.92,40.91
fig|645463.3.peg.22,1047.74,1096.05,1265.38,1496.89,1462.56,1695.04,741.47,840.57,817.5
fig|645463.3.peg.23,18.26,18.14,20.3,26.63,25.29,29.02,26.29,36.77,36.96
fig|645463.3.peg.24,123.73,149.13,142.93,96.65,111.34,114.85,119.82,135.63,150.87
fig|645463.3.peg.25,253.26,297.37,267.09,153.04,181.96,193.14,256.65,322.75,343.11
fig|645463.3.peg.26,341.34,382.1,355.67,177.16,205.15,232.45,298.72,373.11,404.12
fig|645463.3.peg.27,578.21,608.52,544.86,229.95,253.17,283.03,465.49,526.9,564.94
fig|645463.3.peg.28,109.35,129.46,115.46,151.19,194.21,190.15,96.95,105.86,103.52
fig|645463.3.peg.29,28.48,31.27,32.41,65.41,83.8,78.44,42.36,40.84,43
fig|645463.3.peg.30,450.76,506.88,498.62,223.23,238.49,240.65,151.46,156.16,151.59
fig|645463.3.peg.31,86.11,102.77,110.67,89.95,102.13,97.05,38.96,40.48,38.48
fig|645463.3.peg.32,3.29,4.35,4.73,7.19,9.12,7.4,4.87,7.82,7.68
fig|645463.3.peg.33,0.6,0.6,0.7,0.94,0.97,1.14,0.73,0.74,0.76
fig|645463.3.peg.34,0.95,0.83,0.91,0.97,0.85,0.86,1.19,1.6,1.54
fig|645463.3.peg.35,1.93,2.55,2.19,4.14,4.06,3.9,2.22,3.07,2.88
fig|645463.3.peg.36,5.6,5.38,5.82,6.19,6.91,7.23,13.85,13.99,16.47
fig|645463.3.peg.37,14.93,12.06,14.31,13.45,13.1,15.31,24.34,27.26,28.58
fig|645463.3.peg.38,21.65,19.93,23.33,22.41,22.43,24.82,41.15,48.04,50.01
fig|645463.3.peg.39,16.47,18.05,19.46,20.7,23.82,25.38,35.17,39.69,42.01
fig|645463.3.peg.40,12.51,11.84,14.56,14.81,17.01,16.24,25.13,29.74,30.35
fig|645463.3.peg.41,1.28,1.78,2.03,1.74,2.14,2.19,1.92,2.34,2.28
fig|645463.3.peg.42,0.96,0.98,1.08,0.69,1.18,1.37,0.95,0.86,1.32
fig|645463.3.peg.43,1.47,1.34,1.84,1.5,1.07,1.62,2.2,2.74,3.14
fig|645463.3.peg.44,0.95,1.08,1.05,1.41,2.06,2.1,1.84,2.43,2.14
fig|645463.3.peg.46,1.06,1.2,0.66,0.91,1.84,1.28,1.42,2.16,2.16
fig|645463.3.peg.47,10.63,11.28,12.21,10.19,10.16,11.94,8.94,12.42,11.21
fig|645463.3.peg.48,31.25,36.61,37.63,24.48,31.51,29.93,30.62,36.17,35.35
fig|645463.3.peg.49,62.79,70.29,76.46,41.7,48.32,54.86,51.7,66.95,62.58
fig|645463.3.peg.50,210.47,236.22,237.3,282.49,252.2,287,275.89,321.5,317.44
fig|645463.3.peg.51,419.19,419.3,444.68,361.31,357.91,441.51,448.27,468.17,466.39
fig|645463.3.peg.52,177.46,183.65,219.63,147.81,151.29,175.67,150.38,160.6,157.5
fig|645463.3.peg.54,1020.01,1162.68,1102.89,356.21,416.46,452.91,577.92,681.81,699.39
fig|645463.3.peg.55,1911.69,2152.79,2007.47,540.27,632.57,684.72,1107.99,1292.56,1262.68
fig|645463.3.peg.57,441.29,517.95,500.39,219.86,277.51,280.27,279.38,311.78,318.35
fig|645463.3.peg.58,82.15,78.64,92.04,42.22,46.71,46.81,63.53,59.16,53.79
fig|645463.3.peg.59,351.29,400.22,417.3,213.3,249.49,246.67,218.64,246.4,245.23
fig|645463.3.peg.60,451.69,510.04,529.35,307.24,357.19,336.17,281.85,314.23,305.14
fig|645463.3.peg.61,82.69,79.37,88.69,56.57,57.46,54.66,49.94,47.21,45.83
fig|645463.3.peg.62,666.85,730.82,746.67,408.76,444.79,421.11,396.58,432.84,404.79
fig|645463.3.peg.63,486.6,528.51,566.61,283.38,303.93,289.43,305.58,322.13,318.19
fig|645463.3.peg.64,580.13,639.65,691.36,343.28,394.82,369.88,342.82,366.24,360.01
fig|645463.3.peg.65,3884.02,4376.76,4708.16,3038.95,3062.27,3450.05,3294.08,3342.15,3445.33
fig|645463.3.peg.66,2035.53,2480.79,2298.51,1754.52,1969.63,2191.25,1242.17,1452.54,1480.85
fig|645463.3.peg.67,2321.27,2723.68,2604.73,1924.27,2089.09,2357.24,1445.32,1619.82,1604.89
fig|645463.3.peg.68,1299.08,1408.46,1419,1035.58,1061.21,1181.54,854.66,857.41,869.14
fig|645463.3.peg.69,3172.24,3682.05,3600.92,2377.85,2666.7,2883.27,1881.41,2159.56,2096.84
fig|645463.3.peg.70,2762.13,3214.8,3355.12,2040.2,2191.7,2499.8,1853.11,2057.02,2082.47
fig|645463.3.peg.71,1844.62,2026.99,2113.55,2325.86,2505.66,2819.85,1965.52,2126.76,2113.93
fig|645463.3.peg.72,1511.97,1660.11,1717.5,1754.86,1789.96,2085.72,1523.44,1686.28,1746.61
fig|645463.3.peg.73,517.17,578.93,490.25,210.16,259.5,253.09,321.11,388.68,388.15
fig|645463.3.peg.74,262.24,305.3,333.04,371.08,395.19,421.55,522.25,534.4,549.39
fig|645463.3.peg.75,682.45,767.67,838.87,880.31,920.32,1016.3,1114.31,1180.48,1212.5
fig|645463.3.peg.76,3184.72,3536.23,3489.27,2636.56,2823.03,3120.18,2740.47,2894.45,3003.56
fig|645463.3.peg.77,1497.81,1392.72,1513.51,1197.25,1216.26,1332.74,1467.68,1257.74,1294.13
fig|645463.3.peg.78,3914.83,4299.81,4676.82,3525.9,3784.74,4311.47,3677.25,3896.7,4082.87
fig|645463.3.peg.79,4434.08,5009.79,5390.97,3533.08,3627.7,4093.55,3846.34,3928.72,4043.41
