reaction	linear_coefficient
rxn02201_c	0.020828384879348936
rxn00836_c	0.0033647662779051754
rxn00390_c	0.005449410837524696
rxn00423_c	0.0010420486325848168
rxn00364_c	0.003787824887667814
rxn03408_c	0.005712112173470449
rxn02177_c	0.00238784568485691
rxn01452_c	0.04400521024316292
rxn00022_c	0.0003814642315712276
rxn00973_c	0.004353727348850955
rxn04031_c	0.00013080337352298907
rxn00322_c	0.002374710618059622
rxn05457_c	0.013849286054390123
rxn10278_c	0.049858524384704214
rxn04271_c	0.023104582496428903
rxn05392_c	0.03114105419856937
rxn01358_c	0.0042256604475774005
rxn01219_c	0.003787824887667814
rxn02168_c	0.026210478499537535
rxn05958_c	0.005458714843172775
rxn00519_c	0.011129779932901701
rxn00258_c	0.007883229256172112
rxn00800_c	0.009902198481805196
rxn09177_c	0.011129779932901701
rxn00211_c	0.0030911190529616835
rxn01210_c	0.0018558754795667614
rxn00192_c	0.00014558032366993767
rxn01218_c	0.002196292627396466
rxn05367_c	0.03114105419856937
rxn01199_c	0.0020988742153165824
rxn00545_c	0.03307792925671941
rxn01547_c	0.0003097686586360328
rxn02320_c	0.0003190726642841115
rxn10287_c	0.049858524384704214
rxn06488_c	0.00028568770284100547
rxn02504_c	0.011361832779653781
rxn04082_c	0.00012970878462321514
rxn04996_c	0.007955472123557196
rxn05404_c	0.03114105419856937
rxn02796_c	0.07118385262455054
rxn10262_c	0.008357733544224128
rxn10225_c	0.002550939430923231
rxn03463_c	0.0020304624090807097
rxn01486_c	0.0014640126534476814
rxn00898_c	0.00022657990225321127
rxn05040_c	0.12643322734064155
rxn05400_c	0.03114105419856937
rxn03030_c	0.03357323073386713
rxn01636_c	0.00014558032366993767
rxn05235_c	0.01665252822671125
rxn02090_c	0.12643322734064155
rxn02988_c	0.008097221386077923
rxn01021_c	0.003071142805540809
rxn00165_c	0.004705637680128286
rxn05814_c	0.006084272399393598
rxn00539_c	0.009902198481805196
rxn00678_c	0.007883229256172112
rxn03667_c	0.003272820810324162
rxn00001_c	0.03334063059266516
rxn01322_c	0.0025367097752261696
rxn01331_c	0.5310874193424805
rxn00710_c	0.003301827416168172
rxn10317_c	0.0027999584056218082
rxn01114_c	0.001744227411789817
rxn02305_c	0.0010431432214845907
rxn00470_c	0.0031376390812020774
rxn08817_c	0.003071142805540809
rxn00910_c	0.00578818610200474
rxn08296_c	0.003054450324819256
rxn01297_c	0.003071142805540809
rxn10254_c	0.003054450324819256
rxn05459_c	0.013849286054390123
rxn05453_c	0.013849286054390123
rxn01682_c	0.017891602861255386
rxn06493_c	0.003071142805540809
rxn00337_c	0.00862426594131909
rxn01231_c	0.002374710618059622
rxn08308_c	0.002550939430923231
rxn08823_c	0.003071142805540809
rxn05346_c	0.03114105419856937
rxn03248_c	0.001506154326088979
rxn05733_c	0.0017053695058478412
rxn00416_c	0.001299277024031699
rxn12512_c	0.011129779932901701
rxn08669_c	0.0004920177104483983
rxn00902_c	0.0003042957141371629
rxn06672_c	0.011311481690264179
rxn02961_c	0.0015576000043783557
rxn00649_c	0.0017053695058478412
rxn01739_c	0.00043126802651094313
rxn02400_c	0.002196292627396466
rxn01268_c	0.0003907682372193063
rxn00641_c	0.003965148289431197
rxn01974_c	0.0017447747062397038
rxn00242_c	0.009450680560648435
rxn00568_c	0.13772391184181
rxn08971_c	0.0575365182221687
rxn01635_c	0.1042885993093144
rxn04384_c	0.0016511873553090297
rxn00060_c	0.007850391589178893
rxn00225_c	0.030294936979044094
rxn05350_c	0.03114105419856937
rxn08838_c	0.003071142805540809
rxn00780_c	0.0006819288845591817
rxn00148_c	0.08518911759715844
rxn01102_c	0.007234138038606151
rxn05569_c	0.045989152624003236
rxn05358_c	0.013849286054390123
rxn00100_c	0.005278654969159958
rxn03482_c	0.003071142805540809
rxn00789_c	0.00016583021831575605
rxn05158_c	0.0008805967698681567
rxn08976_c	0.0575365182221687
rxn00781_c	0.5310874193424805
rxn05298_c	0.028182927696930225
rxn05408_c	0.013849286054390123
rxn00292_c	0.0004405720321590219
rxn02264_c	0.004237153631025028
rxn03185_c	0.0020304624090807097
rxn02687_c	0.023104582496428903
rxn03903_c	0.004997892916367935
rxn00097_c	0.14622394194300475
rxn01217_c	0.010808518090818042
rxn02212_c	0.0012505678179917578
rxn00695_c	0.002838816311563784
rxn07670_c	0.005765199735109486
