reaction	linear_coefficient
rxn02201_c	[0.0022147746012898015, 0.002196292627396466, 0.0022076449948356205]
rxn00836_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn00390_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn00423_c	[0.03340498897689718, 0.03235878434956791, 0.03960481923066008]
rxn00364_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn03408_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn02177_c	[0.02258616148143812, 0.017040559991681123, 0.01901369725117946]
rxn01452_c	[0.0007699149031991787, 0.0008674617030708691, 0.0005616831432409814]
rxn00022_c	[0.07101972212582523, 0.07251651461002534, 0.08652437003407046]
rxn00973_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn04031_c	[1.0, 0.3121335179539944, 1.0]
rxn00322_c	[0.016494934031612504, 0.01660217713732165, 0.01901369725117946]
rxn05457_c	[0.0025707631833741386, 0.0027999584056218082, 0.002704003692437518]
rxn10278_c	[0.0005387612433558255, 0.0005461998609872097, 0.0006339683904645586]
rxn04271_c	[0.002014680347937028, 0.0018969225633082853, 0.002128398946027551]
rxn05392_c	[0.0009574659346999871, 0.0011493183447626658, 0.0009573779410056003]
rxn01358_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn01219_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn02168_c	[0.0015087703999077775, 0.002196292627396466, 0.0018505023289235765]
rxn05958_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn00519_c	[0.00298110572681699, 0.003071142805540809, 0.003117368217301233]
rxn00258_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn00800_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn09177_c	[0.00298110572681699, 0.003071142805540809, 0.003117368217301233]
rxn00211_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn01210_c	[0.025018351928161982, 0.02500807259313583, 0.021456403161060636]
