reaction	linear_coefficient
rxn02201_c	0.029257045024645507
rxn00836_c	0.003381237068259863
rxn00390_c	0.008283710297462075
rxn00423_c	0.0018545767265167488
rxn00364_c	0.0030710725479251026
rxn03408_c	0.0062427389943371546
rxn02177_c	0.0027293491574767893
rxn01452_c	0.04347135736672788
rxn00022_c	0.0005069143511989412
rxn00973_c	0.003162297406847091
rxn04031_c	0.00013363209063707495
rxn00322_c	0.0022964009081064872
rxn05457_c	0.025204195751781594
rxn10278_c	0.008653540806605272
rxn04271_c	0.02263165473018152
rxn05392_c	0.053079060886922595
rxn01358_c	0.004944387353571773
rxn01219_c	0.0030710725479251026
rxn02168_c	0.022222375633396386
rxn05958_c	0.005756535151650232
rxn00519_c	0.021362396422802073
rxn00258_c	0.02132985133799747
rxn00800_c	0.027189939032207795
rxn09177_c	0.021362396422802073
rxn00211_c	0.007478959109566479
rxn01210_c	0.0038827272386580377
rxn00192_c	0.00016124610198643363
rxn01218_c	0.0037772022667158455
rxn05367_c	0.053079060886922595
rxn01199_c	0.004773772212020379
rxn00545_c	0.021477290434309224
rxn01547_c	0.0013432244092080891
rxn02320_c	0.0004788072325040583
rxn10287_c	0.008653540806605272
rxn06488_c	0.00024507435072555815
rxn02504_c	0.016313963419324676
rxn04082_c	0.00028452293836749904
rxn04996_c	0.006542548260415906
rxn05404_c	0.053079060886922595
rxn02796_c	0.03659990650684729
rxn10262_c	0.012705403864778132
rxn10225_c	0.0037510675774030592
rxn03463_c	0.0019615810204955137
rxn01486_c	0.0017031927714408004
rxn00898_c	0.00024852610214422797
rxn05040_c	0.048539514664026236
rxn05400_c	0.053079060886922595
rxn03030_c	0.03240504231847239
rxn01636_c	0.00016124610198643363
rxn05235_c	0.0059567367339330825
rxn02090_c	0.048539514664026236
rxn02988_c	0.014671915958728887
rxn01021_c	0.0033163934523234226
rxn00165_c	0.00973985628879522
rxn05814_c	0.008516950071895051
rxn00539_c	0.027189939032207795
rxn00678_c	0.02132985133799747
rxn03667_c	0.0018387972914599723
rxn00001_c	0.026750087280000157
rxn01322_c	0.0026548899483026258
rxn01331_c	0.3570831911540487
rxn00710_c	0.0054951882585223735
rxn10317_c	0.003387647463751679
rxn01114_c	0.003072551869961676
rxn02305_c	0.002095706218478113
