reaction	linear_coefficient
rxn02201_c	[0.0018383076166033844, 0.0017490517545745566, 0.001771268114962916]
rxn00836_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn00390_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn00423_c	[0.0246928503860503, 0.027729891575556866, 0.024648387310743317]
rxn00364_c	[0.0033995006235078722, 0.012905112339715455, 0.013795746499841543]
rxn03408_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn02177_c	[0.024305688205010074, 0.016313963419324676, 0.015836267021739184]
rxn01452_c	[0.0016917675863716633, 0.0015882987599336474, 0.0014037484062271988]
rxn00022_c	[0.08498295403033551, 0.09660071520289394, 0.10147916856035945]
rxn00973_c	[0.0033995006235078722, 0.013729094714086499, 0.012659776491022054]
rxn04031_c	[1.0, 1.0, 1.0]
rxn00322_c	[0.02248505662318172, 0.021798303316245517, 0.02214453646085399]
rxn05457_c	[0.001953486939976177, 0.0018387972914599723, 0.0019343918359525662]
rxn10278_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn04271_c	[0.0021228347570143922, 0.001960594805804465, 0.0020778620965820173]
rxn05392_c	[0.0011118796068165632, 0.0011430228269252388, 0.0010883103674460082]
rxn01358_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn01219_c	[0.0033995006235078722, 0.012905112339715455, 0.013795746499841543]
rxn02168_c	[0.0021228347570143922, 0.0023649428291343598, 0.0019997395916502275]
rxn05958_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn00519_c	[0.002559603874358745, 0.0022964009081064872, 0.002455699872006839]
rxn00258_c	[0.002475785257844881, 0.0024112949196136405, 0.002292576151017189]
rxn00800_c	[0.002011076601662574, 0.0018328800033136814, 0.0018995069438132132]
rxn09177_c	[0.002559603874358745, 0.0022964009081064872, 0.002455699872006839]
rxn00211_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn01210_c	[0.013127591891147556, 0.003338336729199253, 0.0033044836913129244]
rxn00192_c	[0.22956094440202832, 1.0, 1.0]
rxn01218_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn05367_c	[0.0011118796068165632, 0.0011430228269252388, 0.0010883103674460082]
rxn01199_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn00545_c	[0.0022756469286178992, 0.0024112949196136405, 0.0023535018781338053]
